0493 S L73 C12 H138 #82b86f
0494 S L74 C22 H141 #49cb38
0495 S L74 C18 H139 #6dc551
0496 P L75 C27 H148 #00cf55
0497 R L75 C28 H138 #55cf00
0498 R L77 C33 H144 #00d832
0499 P L78 C30 H145 #00dd37
0500 S L78 C22 H140 #5cd937
0501 S L79 C8 H148 #96c89d
0502 P L79 C26 H147 #00e04f
0503 S L79 C16 H138 #85d368
0504 P L80 C25 H135 #72dc00
0505 S L80 C19 H145 #64dc6b
0506 P L80 C33 H146 #00e546
0507 P L81 C29 H140 #4fe600
0508 S L81 C24 H142 #4ae640
0509 S L83 C13 H138 #9dda89
0510 S L83 C21 H145 #5aeb68
0511 P L84 C28 H145 #00f340
0512 R L84 C36 H144 #00f332
0513 R L84 C39 H148 #00f264
0514 S L84 C6 H149 #afd5b4
0515 S L84 C24 H136 #7cea24
0516 S L84 C17 H145 #80e783
0517 P L84 C32 H146 #00f54f
0518 P L85 C28 H136 #75f200
0519 S L86 C13 H140 #a3e893
0520 R L87 C35 H148 #00fe65
0521 R L88 C34 H142 #47ff38
0522 P L88 C27 H148 #2fff6f
0523 S L88 C18 H143 #86f582
0524 S L89 C24 H136 #8bfe48
0525 R L89 C31 H136 #87ff27
0526 R L90 C27 H141 #81ff69
0527 S L91 C4 H149 #cfead2
0528 S L91 C18 H136 #a8fd7b
0529 R L92 C20 H147 #9cffa8
0530 S L94 C4 H139 #e0f4db
0531 R L97 C7 H149 #dbffe0
0532 R L13 C6 H151 #000c02
0533 S L24 C5 H162 #012718
0534 R L26 C11 H157 #002c16
0535 P L28 C8 H154 #003419
0536 R L29 C13 H156 #00351c
0537 R L32 C11 H161 #003c26
0538 S L33 C4 H165 #1f3c2f
0539 R L35 C17 H155 #004624
0540 R L36 C13 H163 #004b32
0541 S L37 C4 H153 #2e4835
0542 R L39 C20 H153 #005228
0543 R L39 C17 H159 #005434
0544 P L40 C11 H158 #005734
0545 R L43 C21 H152 #005f2e
0546 R L44 C18 H159 #00623c
0547 S L44 C10 H163 #026343
0548 R L45 C24 H151 #006730
0549 R L45 C21 H163 #006747
0550 S L45 C5 H163 #3c5f4e
0551 R L47 C21 H150 #006e30
0552 R L47 C18 H159 #006d45
0553 P L48 C13 H157 #007042
0554 R L48 C24 H158 #007244
0555 R L50 C21 H155 #007743
0556 S L51 C9 H156 #32764f
0557 P L52 C13 H159 #007d4f
0558 R L53 C25 H160 #008153
0559 P L53 C17 H158 #008250
0560 R L54 C22 H153 #008444
0561 R L55 C27 H156 #008951
0562 P L57 C16 H160 #008c5c
0563 P L57 C19 H154 #008e4e
0564 R L57 C24 H151 #009046
0565 S L58 C14 H156 #089156
0566 S L58 C10 H157 #418c63
0567 R L59 C33 H153 #00964d
0568 R L59 C29 H153 #00964e
0569 R L59 C25 H161 #009664
0570 R L59 C20 H163 #009667
0571 S L60 C6 H154 #618b6e
0572 S L61 C12 H153 #3d985e
0573 P L61 C17 H154 #009d57
0574 P L62 C21 H151 #00a24c
0575 R L62 C30 H160 #00a068
0576 R L62 C34 H153 #00a256
0577 R L64 C25 H155 #00a65f
0578 S L64 C14 H160 #12a66e
0579 R L65 C26 H164 #00aa78
0580 R L66 C33 H156 #00ad66
0581 P L66 C20 H159 #00ae70
0582 R L66 C28 H158 #00af6e
0583 R L68 C27 H151 #00b65a
0584 S L69 C18 H150 #27b75c
0585 P L69 C23 H154 #00b865
0586 R L69 C32 H152 #00ba61
0587 R L69 C37 H153 #00bb63
0588 S L70 C7 H159 #7aab8f
0589 R L70 C33 H161 #00bc7f
0590 R L71 C28 H156 #00c071
0591 S L72 C13 H163 #4cbd8e
0592 P L72 C23 H152 #00c667
0593 S L73 C17 H159 #01c57e
0594 R L73 C30 H161 #00c685
0595 S L73 C9 H152 #7db98c
0596 P L74 C21 H161 #00c986
0597 R L74 C39 H156 #00ca79
0598 R L74 C39 H151 #00cc63
0599 R L74 C31 H153 #00cb6b
0600 R L74 C34 H162 #00ca8d
0601 S L76 C15 H153 #53cc7f
0602 R L76 C27 H157 #00d380
0603 R L77 C31 H157 #00d581
0604 R L77 C37 H162 #00d491
0605 R L77 C33 H150 #00d867
0606 S L77 C19 H151 #36d671
0607 R L77 C29 H164 #00d599
0608 R L78 C37 H151 #00da6a
0609 R L78 C43 H153 #00dc77
0610 P L78 C23 H151 #00dd6b
0611 S L79 C11 H151 #81ce95
0612 R L79 C35 H155 #00df82
0613 R L80 C26 H161 #00df97
0614 R L80 C38 H160 #00e193
0615 R L81 C32 H153 #00e47c
0616 R L81 C36 H164 #00e2a2
0617 R L81 C32 H160 #00e397
0618 R L81 C29 H164 #00e2a3
0619 S L81 C15 H163 #49dfa3
0620 S L81 C18 H156 #31e38d
0621 S L82 C9 H155 #94d4aa
0622 R L82 C39 H153 #00e87d
0623 P L82 C28 H151 #00e975
0624 P L82 C22 H159 #00e795
0625 R L82 C43 H150 #00ea71
0626 R L83 C34 H152 #00ed79
0627 R L83 C42 H156 #00ed8d
0628 R L84 C37 H158 #00f199
0629 P L84 C25 H153 #00f285
